country,YEAR1997,YEAR1998,YEAR1999,YEAR2000,YEAR2001,YEAR2002,YEAR2003,YEAR2004,YEAR2005,YEAR2006,YEAR2007,YEAR2008,YEAR2009,YEAR2010,YEAR2011,YEAR2012
RUS,13.9053899279147,-13.6752136752137,15.0913604271792,18.9323717627176,8.73737373737373,33.7321596422091,-0.899943575208881,22.9442763054319,13.9589442832,9.83874355996617,20.4081632653061,-15.01230602435537,14.5441476016781,15.484496124031,20.4916524473887,65.2986459070535
GEO,34.504186102567,13.2705283697436,12.9020441283534,12.9613371934092,13.778015018588,7.3677541685279,13.2841718284381,14.3017170251869,-2.49415455950938,2.12657633822743,1.84970926367966,-12.5285489947593,-1.74263383247633,17.2627215479025,9.46580053955899,16.5569442931054
AFG,58.3333333333334,53.9387308533917,0,0,0,0,12.2933440687064,14.765100671141,0,0,30.7067276756989,-21.7484255713803,13.9015295504456,15.2784115173278,23.3058204895784,6.92689039007008
ARM,22.7506657221809,33.6015276481109,17.3145658632661,14.4890246452726,18.6697301355765,12.5623088780096,29.4026439661903,21.9691309569274,21.0026213075286,42.0379117420119,13.5262807717898,-40.2789895716482,16.7317770317,18.1818181818182,16.1242641200425,47.3642752901954
ASA,30.6225848003435,14.3587752826883,0,0,0,0,0,0,0,0,0,0,0,32.0523195682899,0,0
AZE,11.033000878342,20.8709590890801,18.5034013605442,14.108491631261,18.3306019031707,20.2488248561733,20.6041491116094,14.9024390243903,17.6724659345333,0.775201023775917,11.835435147438,17.0822896249659,24.9094367884651,17.3345301939375,24.5669291338583,35.4166666666667
BEL,26.3774403470716,0,0,0,19.7289090285954,32.8571428571428,0,24.0114652935536,25.0506819554,18.3062179604245,17.8217821782178,-30.1512244761066,-15.0834221377768,10.3296703296703,20.5342880150502,20.6664166300581
BGR,26.4174660922342,9.58806818181818,18.6596886211777,21.9578711519775,0,0,0,11.8027937958287,0,11.8715398172514,20.9901397483948,0,29.3827160493827,0,27.6633457748421,18.1978090301799
CHE,-36.8055555555555,14.1080617495712,26.4922120294373,11.6961538461539,0,0,22.3572907423839,19.1346447022712,0,13.013576768454,0,29.7126436781608,10.3180889692263,24.4082706734725,50,23.076639493847
CHN,12.3656722264927,26.0007969064457,10.2757607192255,13.9840422800411,11.1952921519485,0,38.860103626943,17.23073648361,0,11.8548387096774,0,18.5370077993704,0,21.8106218106218,0,0
ESP,13.9505547963865,0,0,14.5922746781116,-3.48517361561706,0,0,23.6523910528258,0,0,0,11.7611918143489,20.6342867155763,6.74698795180724,16.354474167896,37.3782751310053
EUR,10.9302325581395,14.2292490118577,3.10326764779246,24.2590521609139,40.2804165448559,6.95993031358886,26.1861861861862,16.1538461538462,20.212765953,22.9593428548674,18.7568504162519,23.6686390532544,39.0025378168734,31.8499679775669,13.3811017376884,50.7792207792207
