key,date,value
1,1981-08,1
1,1984-05,1
1,1985-07,2
1,1985-08,2
1,1985-09,5
1,1985-10,1
1,1985-12,2
1,1986-01,5
1,1986-02,3
1,1986-04,2
1,1986-05,1
1,1986-07,3
1,1986-09,15
1,1986-10,10
1,1986-11,5
1,1986-12,6
1,1987-01,10
1,1987-02,6
1,1987-03,11
1,1987-04,3
1,1987-06,6
1,1987-07,4
1,1987-08,3
1,1987-09,11
1,1987-10,8
1,1987-11,8
1,1987-12,2
1,1988-01,10
1,1988-02,5
1,1988-03,13
1,1988-04,6
1,1988-05,3
1,1988-06,11
1,1988-07,2
1,1988-08,3
1,1988-09,1
1,1988-10,1
1,1988-12,7
1,1989-01,20
1,1989-02,3
1,1989-03,6
1,1989-04,6
1,1989-05,7
1,1989-07,3
1,1989-08,4
1,1989-09,7
1,1989-10,13
1,1989-11,5
1,1989-12,8
1,1990-01,15
1,1990-02,5
1,1990-03,9
1,1990-04,19
1,1990-05,13
1,1990-06,10
1,1990-07,10
1,1990-08,8
1,1990-09,25
1,1990-10,16
1,1990-11,3
1,1990-12,20
1,1991-02,5
1,1991-03,5
1,1991-04,9
1,1991-05,3
1,1991-06,5
1,1991-07,7
1,1991-08,8
1,1991-09,12
1,1991-10,15
1,1991-11,13
1,1991-12,16
1,1992-01,16
1,1992-02,6
1,1992-03,2
1,1992-04,4
1,1992-05,2
1,1992-06,17
1,1992-07,8
1,1992-08,8
1,1992-09,7
1,1992-10,4
1,1992-11,4
1,1992-12,5
1,1993-01,2
1,1993-03,9
1,1993-04,6
1,1993-05,6
1,1993-06,1
1,1993-07,11
1,1993-08,5
1,1993-09,3
1,1993-10,13
1,1993-11,1
1,1993-12,6
1,1994-01,16
1,1994-02,4
1,1994-03,2
1,1994-04,2
1,1994-05,6
1,1994-06,2
1,1994-07,2
1,1994-08,2
1,1994-09,3
1,1994-11,5
1,1994-12,4
1,1995-01,8
1,1995-02,1
1,1996-01,7
1,1996-02,9
1,1996-03,8
1,1996-04,9
1,1996-05,12
1,1996-06,3
1,1996-07,9
1,1996-08,12
1,1996-09,10
1,1996-10,2
1,1996-11,10
1,1996-12,11
1,1997-01,21
1,1997-02,10
1,1997-03,29
1,1997-04,16
1,1997-05,33
1,1997-06,15
1,1997-07,24
1,1997-08,14
1,1997-09,16
1,1997-10,10
1,1997-11,16
1,1997-12,19
1,1998-01,20
1,1998-02,62
1,1998-03,23
1,1998-04,22
1,1998-05,47
1,1998-06,42
1,1998-07,18
1,1998-08,13
1,1998-09,13
1,1998-10,41
1,1998-11,28
1,1998-12,37
1,1999-01,28
1,1999-02,39
1,1999-03,36
1,1999-04,53
1,1999-05,35
1,1999-06,59
1,1999-07,29
1,1999-08,29
1,1999-09,24
1,1999-10,42
1,1999-11,73
1,1999-12,50
1,2000-01,55
1,2000-02,47
1,2000-03,16
1,2000-04,32
1,2000-05,26
1,2000-06,31
1,2000-07,33
1,2000-08,22
1,2000-09,25
1,2000-10,42
1,2000-11,37
1,2000-12,41
1,2001-01,17
1,2001-02,15
1,2001-03,39
1,2001-04,39
1,2001-05,29
1,2001-06,45
1,2001-07,34
1,2001-08,36
1,2001-09,36
1,2001-10,48
1,2001-11,48
1,2001-12,42
1,2002-01,25
1,2002-02,44
1,2002-03,51
1,2002-04,35
1,2002-05,28
1,2002-06,29
1,2002-07,42
1,2002-08,81
1,2002-09,94
1,2002-10,27
1,2002-11,46
1,2002-12,72
1,2003-01,77
1,2003-02,54
1,2003-03,29
1,2003-04,39
1,2003-05,45
1,2003-06,62
1,2003-07,25
1,2003-08,43
1,2003-09,52
1,2003-10,49
1,2003-11,93
1,2003-12,70
1,2004-01,127
1,2004-02,40
1,2004-03,88
1,2004-04,38
1,2004-05,78
1,2004-06,47
1,2004-07,34
1,2004-08,52
1,2004-09,31
1,2004-10,8
1,2004-11,18
1,2004-12,19
1,2005-01,18
1,2005-02,35
1,2005-03,24
1,2005-04,13
1,2005-05,24
1,2005-06,9
1,2005-07,13
1,2005-08,8
1,2005-09,11
1,2005-10,19
1,2005-11,19
