key,date,value
1,1992-06,9
1,1993-01,7
1,1997-03,12
1,1998-02,31
1,1998-04,9
1,1998-08,11
1,1998-10,11
1,1998-11,18
1,1999-02,9
1,1999-05,9
1,1999-06,9
1,1999-10,18
1,1999-11,18
1,2000-02,36
1,2000-08,9
1,2000-10,18
1,2001-07,9
1,2001-09,36
1,2002-07,9
1,2002-09,9
1,2002-12,18
1,2003-01,9
1,2003-06,18
1,2003-11,9
1,2003-12,18
1,2004-02,9
1,2004-03,14
1,2004-06,18
1,2005-02,9
1,2005-03,9
1,2005-07,9
1,2005-10,9
1,2006-04,1
1,2006-07,2
1,2006-10,1
1,2008-02,21
1,2008-08,2
1,2008-09,9
1,2008-12,1
1,2009-06,5
1,2009-08,29
1,2009-11,18
1,2010-02,45
1,2010-03,1
1,2010-04,10
1,2010-10,18
1,2010-12,9
1,2011-01,9
1,2011-03,17
1,2011-04,1
1,2011-05,18
1,2011-07,9
1,2011-08,10
1,2011-09,9
1,2011-10,1
1,2011-12,2
1,2012-02,52
1,2012-03,14
1,2012-04,9
1,2012-05,112
1,2012-07,24
1,2012-09,20
1,2012-10,10
1,2012-11,34
1,2012-12,28
2,1991-07,9
2,1991-09,36
2,1991-10,9
2,1992-01,28
2,1992-06,4
2,1993-01,18
2,1993-06,28
2,1993-08,9
2,1993-09,3
2,1993-10,33
2,1993-11,2
2,1993-12,3
2,1994-03,15
2,1994-05,9
2,1994-06,6
2,1995-01,3
2,1996-01,14
2,1996-03,9
2,1996-04,11
2,1996-05,9
2,1996-06,4
2,1996-07,22
2,1996-08,9
2,1996-10,11
2,1996-11,9
2,1997-01,18
2,1997-04,26
2,1997-06,43
2,1997-07,47
2,1997-08,52
2,1997-09,9
2,1997-10,15
2,1997-11,2
2,1997-12,12
2,1998-01,52
2,1998-02,42
2,1998-03,18
2,1998-05,29
2,1998-06,29
2,1998-07,27
2,1998-08,18
2,1998-09,41
2,1998-10,28
2,1998-11,69
2,1998-12,61
2,1999-02,45
2,1999-04,7
2,1999-05,90
2,1999-06,45
2,1999-08,11
2,1999-09,15
2,1999-10,7
2,1999-11,9
2,1999-12,14
2,2000-01,43
2,2000-02,37
2,2000-03,20
2,2000-04,38
2,2000-05,18
2,2000-06,100
2,2000-07,43
2,2000-08,45
2,2000-09,6
2,2000-11,18
2,2000-12,18
2,2001-01,6
2,2001-02,33
2,2001-03,18
2,2001-05,18
2,2001-06,26
2,2001-07,28
2,2001-08,50
2,2001-09,40
2,2001-10,53
2,2001-11,25
2,2001-12,73
2,2002-01,11
2,2002-02,28
2,2002-03,9
2,2002-04,15
2,2002-07,8
2,2002-08,9
2,2002-09,2
2,2002-10,37
2,2002-11,67
2,2002-12,130
2,2003-01,31
2,2003-02,69
2,2003-03,28
2,2003-04,63
2,2003-05,2
2,2003-06,38
2,2003-07,9
2,2003-08,21
2,2003-10,4
2,2003-11,47
2,2003-12,18
2,2004-01,7
2,2004-02,5
2,2004-03,45
2,2004-04,6
2,2004-05,55
2,2004-06,44
2,2004-07,20
2,2004-08,86
2,2004-09,16
2,2004-11,18
2,2004-12,9
2,2005-01,18
2,2005-02,9
2,2005-03,4
2,2005-04,18
2,2005-05,9
2,2005-06,9
2,2005-08,9
2,2005-09,9
2,2005-10,9
2,2005-12,9
2,2006-02,2
2,2006-03,9
2,2006-04,1
2,2006-05,8
2,2006-06,5
2,2006-07,49
2,2006-08,10
2,2006-09,2
2,2006-10,3
2,2006-11,16
2,2006-12,1
2,2007-01,10
2,2007-02,2
2,2007-03,14
2,2007-05,3
2,2007-06,6
2,2007-07,5
2,2007-08,22
2,2007-09,1
2,2007-10,3
2,2007-11,2
2,2007-12,1
2,2008-01,1
2,2008-02,8
2,2008-03,5
2,2008-04,45
2,2008-05,4
2,2008-06,11
2,2008-07,9
2,2008-08,239
2,2008-09,15
2,2008-10,5
2,2008-11,4
2,2008-12,39
2,2009-01,52
2,2009-02,13
2,2009-03,14
2,2009-04,42
2,2009-05,37
2,2009-06,27
2,2009-08,39
2,2009-09,18
2,2009-10,30
2,2009-11,21
2,2009-12,11
2,2010-02,18
2,2010-03,11
2,2010-04,1
2,2010-06,3
2,2010-07,6
2,2010-09,18
2,2010-10,524
2,2010-11,43
2,2010-12,9
2,2011-02,9
2,2011-03,11
2,2011-05,7
2,2011-06,22
2,2011-07,5
2,2011-08,19
2,2011-10,6
2,2011-11,27
2,2011-12,9
2,2012-01,19
2,2012-02,2
2,2012-03,9
2,2012-04,5
2,2012-05,45
2,2012-06,45
2,2012-07,52
2,2012-08,10
2,2012-09,36
2,2012-11,10
2,2012-12,12
2,2013-01,18
2,2013-02,36
2,2013-03,8
6,1991-02,4
6,1991-08,10
6,1991-09,2
6,1991-11,27
6,1992-01,12
6,1993-05,8
6,1993-10,12
6,1993-11,2
6,1994-03,18
6,1994-09,16
6,1994-12,9
6,1996-08,9
6,1996-11,7
6,1997-01,9
6,1997-04,9
6,1997-05,35
6,1997-08,3
6,1997-09,9
6,1997-10,9
6,1997-11,9
6,1998-02,11
6,1998-03,6
6,1998-05,6
6,1998-07,9
6,1998-08,6
6,1998-10,14
6,1998-12,10
6,1999-01,6
6,1999-03,2
6,1999-04,9
6,1999-05,4
6,1999-06,4
6,1999-07,12
6,1999-08,9
6,1999-11,9
6,2000-03,18
6,2000-04,22
6,2000-05,16
6,2000-06,6
6,2000-07,20
6,2000-08,12
6,2000-09,9
6,2000-10,12
6,2000-11,49
6,2001-01,2
6,2001-02,9
6,2001-04,19
6,2001-05,33
6,2001-06,31
6,2001-08,27
6,2001-10,9
6,2001-11,35
6,2001-12,22
6,2002-01,9
6,2002-02,4
6,2002-03,27
6,2002-04,1
6,2002-05,36
6,2002-06,5
6,2002-07,9
6,2002-08,18
6,2002-10,24
6,2002-11,13
6,2002-12,9
6,2003-01,21
6,2003-02,12
6,2003-03,9
6,2003-05,2
6,2003-06,31
6,2003-08,10
6,2003-09,40
6,2003-10,9
6,2003-11,23
6,2003-12,17
6,2004-01,63
6,2004-02,62
6,2004-03,79
6,2004-04,9
6,2004-05,28
6,2004-06,38
6,2004-07,16
6,2004-09,9
6,2004-10,36
6,2004-12,27
6,2005-02,9
6,2005-03,9
6,2005-10,18
6,2005-11,18
6,2005-12,27
6,2006-01,4
6,2006-05,4
6,2006-07,7
6,2006-08,1
6,2006-09,1
6,2006-11,39
6,2006-12,1
6,2007-01,8
6,2007-02,3
6,2007-03,10
6,2007-08,1
6,2007-11,15
6,2007-12,1
6,2008-01,24
6,2008-02,9
6,2008-04,16
6,2008-05,58
6,2008-06,1
6,2008-07,2
6,2008-08,19
6,2008-09,3
6,2008-10,2
6,2008-11,1
6,2008-12,22
6,2009-01,13
6,2009-02,11
6,2009-03,9
6,2009-04,1
6,2009-05,55
6,2009-06,7
6,2009-07,18
6,2009-08,38
6,2009-09,36
6,2009-10,9
6,2009-11,21
6,2009-12,71
6,2010-01,63
6,2010-02,45
6,2010-03,2
6,2010-04,14
6,2010-05,2
6,2010-08,9
6,2010-09,11
6,2010-10,1
6,2010-11,173
6,2010-12,99
6,2011-03,11
6,2011-06,10
6,2011-07,6
6,2011-08,4
6,2011-09,9
6,2011-10,9
6,2011-12,3
6,2012-01,12
6,2012-02,12
6,2012-03,15
6,2012-04,2
6,2012-05,3
6,2012-06,9
6,2012-07,168
6,2012-08,80
6,2012-09,97
6,2012-10,162
6,2012-11,110
6,2012-12,28
6,2013-02,49
6,2013-03,43
7,1991-05,9
7,1992-01,5
7,1992-04,2
7,1992-06,2
7,1992-08,21
7,1992-09,1
7,1992-12,7
7,1993-01,2
7,1993-05,4
7,1993-07,38
7,1993-08,5
7,1993-09,17
7,1993-10,21
7,1993-11,6
7,1994-01,2
7,1994-02,4
7,1994-06,6
7,1994-10,9
7,1994-11,16
7,1995-02,9
7,1996-02,9
7,1996-06,10
7,1996-07,8
7,1997-01,5
7,1997-02,2
7,1997-04,9
7,1997-05,15
7,1997-07,9
7,1997-08,4
7,1997-10,9
7,1998-02,9
7,1998-04,1
7,1998-06,9
7,1999-02,6
7,1999-04,26
7,1999-05,2
7,1999-06,8
7,1999-07,28
7,1999-08,27
7,1999-09,18
7,1999-11,4
7,2000-03,24
7,2000-05,25
7,2000-06,8
7,2000-10,9
7,2000-11,2
7,2000-12,14
7,2001-01,13
7,2001-03,6
7,2001-05,9
7,2001-07,10
7,2001-09,24
7,2001-10,22
7,2001-12,9
7,2002-02,30
7,2002-03,47
7,2002-04,18
7,2002-05,2
7,2002-06,6
7,2002-08,33
7,2002-09,9
7,2002-10,9
7,2003-01,90
7,2003-02,35
