date,trueval,predval,label
1998-1,1,5,1
1998-2,22,5,1
1998-3,4,7,1
1998-4,0,4,1
1998-5,5,9,1
1998-6,2,5,1
1998-7,2,3,0
1998-8,1,3,0
1998-9,0,4,0
1998-10,2,4,1
1998-11,0,4,0
1998-12,0,3,0
1999-1,0,4,0
1999-2,0,3,0
1999-3,0,3,0
1999-4,2,3,1
1999-5,0,4,0
1999-6,2,4,1
1999-7,1,4,0
1999-8,6,4,1
1999-9,2,4,1
1999-10,3,4,1
1999-11,7,5,1
1999-12,0,5,1
2000-1,2,4,1
2000-2,1,5,0
2000-3,1,3,0
2000-4,0,4,0
2000-5,1,3,1
2000-6,15,4,1
2000-7,4,5,1
2000-8,2,5,0
2000-9,1,8,0
2000-10,6,5,1
2000-11,0,4,1
2000-12,5,3,1
2001-1,0,5,1
2001-2,0,4,0
2001-3,0,5,0
2001-4,0,3,0
2001-5,0,3,0
2001-6,2,3,1
2001-7,4,4,1
2001-8,5,4,1
2001-9,3,5,1
2001-10,8,5,1
2001-11,11,6,0
2001-12,1,5,1
2002-1,0,6,0
2002-2,8,6,1
2002-3,2,4,1
2002-4,6,3,1
2002-5,0,5,1
2002-6,0,4,0
2002-7,0,5,0
2002-8,13,3,1
2002-9,5,4,1
2002-10,0,4,1
2002-11,1,7,1
2002-12,0,5,0
2003-1,2,3,1
2003-2,3,3,1
2003-3,1,3,1
2003-4,4,4,1
2003-5,4,5,0
2003-6,2,5,0
2003-7,0,5,0
2003-8,0,4,0
2003-9,0,4,0
2003-10,0,3,0
2003-11,10,3,1
2003-12,2,4,1
2004-1,11,4,1
2004-2,1,7,1
2004-3,8,5,1
2004-4,9,7,0
2004-5,0,4,1
2004-6,3,5,1
2004-7,3,6,0
2004-8,9,4,1
2004-9,5,5,1
2004-10,3,4,1
2004-11,2,6,0
2004-12,0,5,0
2005-1,0,4,0
2005-2,5,3,1
2005-3,0,3,1
2005-4,0,3,0
2005-5,0,5,0
2005-6,0,4,0
2005-7,1,3,1
2005-8,0,3,0
2005-9,0,3,0
2005-10,0,4,0
2005-11,0,4,0
2005-12,0,3,0
2006-1,4,3,1
2006-2,2,4,1
2006-3,7,4,1
2006-4,0,5,1
2006-5,0,4,0
2006-6,0,5,0
2006-7,1,3,1
2006-8,3,3,1
2006-9,21,3,1
2006-10,5,6,1
2006-11,7,6,1
2006-12,2,10,0
2007-1,2,6,0
2007-2,0,5,0
2007-3,13,2,1
2007-4,1,4,1
2007-5,0,4,0
2007-6,0,7,0
2007-7,5,4,1
2007-8,6,4,0
2007-9,3,3,1
2007-10,7,5,1
2007-11,11,6,0
2007-12,3,6,1
2008-1,1,6,0
2008-2,3,6,1
2008-3,6,4,1
2008-4,10,4,0
2008-5,9,4,1
2008-6,0,6,1
2008-7,13,7,1
2008-8,164,7,0
2008-9,10,19,1
2008-10,17,12,1
2008-11,53,49,1
2008-12,10,17,1
2009-1,5,5,1
2009-2,0,5,1
2009-3,4,3,1
2009-4,18,4,1
2009-5,6,5,1
2009-6,8,6,1
2009-7,4,9,0
2009-8,33,6,1
2009-9,6,8,1
2009-10,11,5,0
2009-11,8,13,0
2009-12,2,7,1
2010-1,5,6,1
2010-2,4,4,1
2010-3,3,3,1
2010-4,1,4,0
2010-5,0,5,0
2010-6,0,4,0
2010-7,0,4,0
2010-8,21,3,1
2010-9,6,5,1
2010-10,7,5,0
2010-11,2,10,0
2010-12,0,6,0
2011-1,0,5,0
2011-2,0,2,0
2011-3,2,2,1
2011-4,5,3,1
2011-5,8,4,0
2011-6,1,5,1
2011-7,7,5,1
2011-8,5,6,1
2011-9,7,4,0
2011-10,1,5,1
2011-11,6,5,1
2011-12,1,6,1
2012-1,1,4,0
2012-2,0,5,0
2012-3,1,3,1
2012-4,0,4,0
2012-5,0,3,0
2012-6,0,4,0
2012-7,9,3,1
2012-8,15,4,0
2012-9,27,5,0
2012-10,7,9,1
2012-11,0,9,0
2012-12,2,11,1
2013-1,6,5,1
2013-2,2,2,1
2013-3,4,2,1
